key,scientificName,decimalLatitude,decimalLongitude,eventDate,year,grid_cell_id,within_scheme_boundary,record_type,presence
4413552195,Thunbergia alata Bojer ex Sims,0.114379,35.101828,2023-08-26T12:28:35,2023,cell_0240,False,pseudo_absence,0
1986733423,"Anaplectes rubriceps (Sundevall, 1850)",-0.53712,34.67125,2018-03-20,2018,cell_0053,False,pseudo_absence,0
1415643409,Coenagrionidae,0.226,34.858,2012-03-09,2012,cell_0144,False,pseudo_absence,0
979598415,"Buteo augur (Ruppell, 1836)",-0.031405,34.938595,2001-12-25,2001,cell_0158,False,pseudo_absence,0
4165353690,"Cossypha heuglini Hartlaub, 1866",-0.33944,34.509961,2023-07-18T03:18:57,2023,cell_0011,False,pseudo_absence,0
576971039,"Apalis porphyrolaema Reichenow & Neumann, 1895",-0.379649,35.37572,2011-01-21,2011,cell_0310,False,pseudo_absence,0
3347167607,"Labeobarbus altianalis (Boulenger, 1900)",-0.17,35.18,2011-05-26,2011,cell_0253,False,pseudo_absence,0
2249872929,BOLD:ADE1279,0.2234,35.1347,2016-05-04,2016,cell_0243,False,pseudo_absence,0
2182207962,"Ploceus baglafecht (Daudin, 1802)",-0.026098,34.683025,2018-06-22,2018,cell_0064,False,pseudo_absence,0
3306587039,Milvus parasiticus,0.20875,34.957917,2017-02-05,2017,cell_0183,False,pseudo_absence,0
1986732273,"Alcedo cristata cristata Pallas, 1764",-0.166667,34.783333,2017-06-01,2017,cell_0098,False,pseudo_absence,0
6422488547,"Motacilla aguimp Temminck, 1820",0.364634,34.857324,2026-06-22T09:32:57,2026,cell_0146,False,pseudo_absence,0
2979481808,"Calicophoron Näsmark, 1937",-0.318111,35.00689,2017-02-17,2017,cell_0193,False,pseudo_absence,0
3498782785,"Colius striatus J.F.Gmelin, 1789",-0.374583,34.457917,2022-02-10,2022,cell_0000,False,pseudo_absence,0
5297261755,"Tricholaema hirsuta (Swainson, 1821)",0.081892,34.988647,2024-05-11,2024,cell_0181,False,pseudo_absence,0
2249871956,BOLD:ADE1279,0.175,35.0876,2016-05-05,2016,cell_0223,False,pseudo_absence,0
3513911260,"Sylvietta whytii Shelley, 1894",-0.403343,34.644653,2021-05-03,2021,cell_0040,False,pseudo_absence,0
942031673,"Crithagra mozambica (P.L.Statius Müller, 1776)",-0.131836,34.760742,2013-02-27,2013,cell_0098,False,pseudo_absence,0
2611310689,"Ciconia ciconia (Linnaeus, 1758)",-0.16066,35.283398,2015-11-25T15:13,2015,cell_0287,False,pseudo_absence,0
1986741901,"Bubulcus ibis (Linnaeus, 1758)",-0.09,34.776,2018-01-02,2018,cell_0099,False,pseudo_absence,0
4976342516,"Trachylepis striata (Peters, 1844)",-0.365434,35.290661,2024-10-21T10:17,2024,cell_0283,False,pseudo_absence,0
4993958872,Saccharum officinarum L.,0.185325,35.116043,2024-12-03T18:06,2024,cell_0242,False,pseudo_absence,0
2882955668,"Junonia Hübner, 1819",-0.420978,35.315742,2020-10-05T12:02:35,2020,cell_0297,False,pseudo_absence,0
3512802210,"Cuculus solitarius Stephens, 1815",-0.403343,34.644653,2021-05-03,2021,cell_0040,False,pseudo_absence,0
1831098922,"Trioceros ellioti (Günther, 1895)",0.230712,34.754133,2018-02-26T11:18Z,2018,cell_0106,False,pseudo_absence,0
6430955390,"Sphodromantis gastrica Stal, 1858",0.054084,34.700194,2026-06-16T08:27:06,2026,cell_0065,False,pseudo_absence,0
4046265396,"Milvus migrans (Boddaert, 1783)",-0.039139,34.62204,2023-02-20T00:32,2023,cell_0047,False,pseudo_absence,0
46822657,"Ceratitis capitata (Wiedemann, 1824)",-0.269722,35.1614,2001-02-21,2001,cell_0251,False,pseudo_absence,0
4029735943,"Anastomus lamelligerus Temminck, 1823",-0.124583,34.707917,2023-01-21,2023,cell_0080,False,pseudo_absence,0
4506306788,"Halcyon senegalensis (Linnaeus, 1766)",-0.349101,34.656483,2023-12-16T12:58:12,2023,cell_0057,False,pseudo_absence,0
3347162425,"Labeobarbus altianalis (Boulenger, 1900)",-0.17,35.18,2011-05-26,2011,cell_0253,False,pseudo_absence,0
1947775587,"Xenopus victorianus Ahl, 1924",0.30725,34.76004,2018-04-06,2018,cell_0107,False,pseudo_absence,0
2190418173,"Columba guinea Linnaeus, 1758",-0.12973,34.740883,2018-10-01,2018,cell_0079,False,pseudo_absence,0
3955496515,Psidium guajava L.,-0.56693,34.674125,2022-07-13T07:17:47.178Z,2022,cell_0053,False,pseudo_absence,0
3030315394,"Culex Linnaeus, 1758",-0.2,35.3333,2020-09-01,2020,cell_0301,False,pseudo_absence,0
3819436906,"Spermestes cucullata Swainson, 1837",-0.457917,34.874583,2022-05-14,2022,cell_0130,False,pseudo_absence,0
4165554721,"Microcarbo africanus (Gmelin, 1789)",-0.33944,34.509961,2023-07-18T03:31:14,2023,cell_0011,False,pseudo_absence,0
6170942262,Passiflora subpeltata Ortega,-0.540366,34.824201,2026-02-23T13:43:52,2026,cell_0109,False,pseudo_absence,0
4465417247,Justicia flava (Forssk.) Vahl,0.182493,35.161463,2023-12-07T16:52,2023,cell_0260,False,pseudo_absence,0
4610147151,"Sarothrura pulchra (J.E.Gray, 1829)",0.212681,34.92315,2023-08-28,2023,cell_0163,False,pseudo_absence,0
3347168803,"Labeobarbus altianalis (Boulenger, 1900)",-0.17,35.18,2011-05-26,2011,cell_0253,False,pseudo_absence,0
2832385617,"Merops muelleri (Cassin, 1857)",0.266417,34.937655,2012-05-12,2012,cell_0164,False,pseudo_absence,0
3351082197,Plagiorchiida,-0.32,35.01,2013-03-10,2013,cell_0193,False,pseudo_absence,0
1986732396,"Agricola pallidus (J.W.Müller, 1851)",0.104637,35.081925,2017-12-04,2017,cell_0221,False,pseudo_absence,0
1883745767,"Hipposideros caffer (Sundevall, 1846)",-0.11742,34.54124,2015-03-17,2015,cell_0016,False,pseudo_absence,0
577269698,"Anaplectes rubriceps (Sundevall, 1850)",-0.031405,34.938595,2011-01-20,2011,cell_0158,False,pseudo_absence,0
3336680784,"Vidua chalybeata (Statius Muller, 1776)",-0.457917,34.624583,2021-08-20,2021,cell_0039,False,pseudo_absence,0
4112217638,"Nectarinia kilimensis Shelley, 1885",0.085586,34.877072,2023-05-05T15:19,2023,cell_0141,False,pseudo_absence,0
4919681435,"Cuculus solitarius Stephens, 1815",-0.150255,34.813601,2024-05-01T17:49:10,2024,cell_0117,False,pseudo_absence,0
2669388624,"Cisticola cantans (Heuglin, 1869)",0.06314,34.913345,2019-05-04,2019,cell_0160,False,pseudo_absence,0
857832132,"Sarcophaga furcoides Zumpt, 1967",0.227,34.8805,2011-02-07,2011,cell_0144,False,pseudo_absence,0
657600861,Staphylinidae,0.25,34.85,2001-09-07,2001,cell_0125,False,pseudo_absence,0
958752205,"Hedydipna collaris (Vieillot, 1819)",0.290505,34.83902,2013-06-06,2013,cell_0126,False,pseudo_absence,0
6431686408,"Bunaea alcinoe Stoll, 1780",-0.039906,35.274803,2026-06-29T06:18:47,2026,cell_0289,False,pseudo_absence,0
2249871804,BOLD:ADE1279,0.175,35.0876,2016-05-05,2016,cell_0223,False,pseudo_absence,0
4112181621,"Nectarinia kilimensis Shelley, 1885",0.085586,34.877072,2023-05-05T15:19,2023,cell_0141,False,pseudo_absence,0
3995401804,"Lanius humeralis Stanley, 1814",0.058236,34.581203,2022-10-21,2022,cell_0033,False,pseudo_absence,0
4458439894,"Junonia sophia (Fabricius, 1793)",0.277705,34.915569,2023-11-25T08:05,2023,cell_0165,False,pseudo_absence,0
6162782062,Oxalis latifolia Kunth,-0.541353,34.814636,2026-02-22T09:24:22,2026,cell_0109,False,pseudo_absence,0
4903768712,"Protopterus aethiopicus Heckel, 1851",-0.199378,34.957138,2024-06-05T11:42,2024,cell_0175,False,pseudo_absence,0
3356269658,"Eurillas gracilis (Cabanis, 1880)",0.20875,34.874583,2021-09-11,2021,cell_0143,False,pseudo_absence,0
3030714769,"Culex Linnaeus, 1758",-0.2,35.3333,2020-12-01,2020,cell_0301,False,pseudo_absence,0
1986738959,"Balearica regulorum (E.T.Bennett, 1834)",0.174683,35.237587,2017-07-12,2017,cell_0278,False,pseudo_absence,0
4416307337,"Hemisus guineensis Cope, 1865",-0.125,34.875,2023-03-16,2023,cell_0137,False,pseudo_absence,0
3819425172,"Streptopelia decipiens (Hartlaub & Finsch, 1870)",-0.374583,34.624583,2022-06-21,2022,cell_0041,False,pseudo_absence,0
865162334,"Cataulacus striativentris Santschi, 1924",0.1,34.52,2001-10-01,2001,cell_0020,False,pseudo_absence,0
657645184,"Diatrechus Bernhauer, 1911",0.25,34.85,2001-09-07,2001,cell_0125,False,pseudo_absence,0
1986779663,"Lybius bidentatus (Shaw, 1799)",0.182023,35.235379,2018-05-12,2018,cell_0278,False,pseudo_absence,0
2366589721,"Anomalurus derbianus (Gray, 1842)",0.125,34.875,2019-03-14,2019,cell_0142,False,pseudo_absence,0
3819425175,"Empidornis semipartitus (Rüppell, 1840)",-0.374583,34.624583,2022-06-21,2022,cell_0041,False,pseudo_absence,0
3818326658,Plagiorchiida,-0.32,35.01,2013-03-10,2013,cell_0193,False,pseudo_absence,0
3819425165,Aves,-0.374583,34.624583,2022-06-21,2022,cell_0041,False,pseudo_absence,0
3306584219,"Bleda syndactylus (Swainson, 1837)",0.042083,35.04125,2017-02-27,2017,cell_0200,False,pseudo_absence,0
3306568590,"Hirundo rustica Linnaeus, 1758",0.125417,34.957917,2015-12-31,2015,cell_0182,False,pseudo_absence,0
2669556626,"Motacilla aguimp Temminck, 1820",0.06314,34.913345,2019-05-04,2019,cell_0160,False,pseudo_absence,0
1668880348,"Halcyon senegalensis (Linnaeus, 1766)",-0.368897,35.286286,2017-09-15T18:00,2017,cell_0283,False,pseudo_absence,0
4111979654,"Chlorocichla laetissima (Sharpe, 1899)",0.085586,34.877072,2023-05-05T15:13,2023,cell_0141,False,pseudo_absence,0
818513200,"Arizelocichla masukuensis (Shelley, 1897)",-0.430069,35.229668,2012-02-16,2012,cell_0265,False,pseudo_absence,0
958752802,"Chalcomitra rubescens (Vieillot, 1819)",0.290505,34.83902,2013-06-06,2013,cell_0126,False,pseudo_absence,0
2697658003,"Muscicapa adusta (F.Boie, 1828)",0.179171,35.010883,2019-09-06,2019,cell_0203,False,pseudo_absence,0
4903835699,"Cercopithecus ascanius schmidti Matschie, 1892",-0.380217,35.324654,2024-06-26T12:14:31,2024,cell_0297,False,pseudo_absence,0
4028689042,"Buteo augur (Ruppell, 1836)",0.245558,35.211835,2023-01-06T18:02,2023,cell_0279,False,pseudo_absence,0
6441992609,Momordica foetida Schum.,0.132671,34.869702,2026-07-04T16:58:39,2026,cell_0142,False,pseudo_absence,0
818380902,"Batis erlangeri Neumann, 1907",-0.031405,34.938595,2012-02-18,2012,cell_0158,False,pseudo_absence,0
1883745976,"Hipposideros caffer (Sundevall, 1846)",-0.11742,34.54124,2015-03-17,2015,cell_0016,False,pseudo_absence,0
