rainfall_7d,rainfall_30d,rainfall_90d,temp_mean_7d,dewpoint_mean_7d,wind_mean_7d,temp_same_day,dewpoint_same_day,wind_same_day,ndvi_nearest_composite,ndvi_anomaly,elevation_m,slope_deg,dist_to_water_m,presence
73.32,146.52,309.31,25.46,12.44,2.24,24.34,14.75,2.07,0.5803,-0.0335,1426.0,2.49,615.6,1
36.39,123.28,294.54,28.71,11.24,2.08,23.63,17.23,3.11,0.699,0.0332,1170.0,0.31,723.3,1
91.95,234.44,441.48,26.14,16.7,3.49,26.48,15.9,2.72,0.4954,0.1109,1145.0,1.66,1141.6,1
34.36,149.97,308.52,28.07,14.37,2.38,27.94,14.14,1.66,-0.1587,-0.3233,1134.0,0.0,16.7,1
93.87,260.53,426.57,28.08,14.81,2.37,30.21,12.22,1.11,0.3919,-0.0404,1148.0,0.0,1402.7,1
2.3,189.9,418.83,32.98,7.03,2.21,31.09,10.85,2.82,0.4998,-0.0408,1158.0,0.98,231.0,1
8.42,195.22,449.06,30.89,10.81,2.71,30.11,12.7,2.94,0.4698,-0.0463,1147.0,0.62,348.4,1
0.0,183.01,428.15,29.76,11.24,2.73,28.77,13.99,2.59,0.4046,-0.124,1134.0,2.18,131.6,1
0.0,193.71,428.15,29.76,11.36,2.78,28.84,14.64,3.84,0.4046,-0.124,1134.0,2.18,131.6,1
8.42,195.22,449.06,30.89,10.81,2.71,30.11,12.7,2.94,0.4698,-0.0463,1147.0,0.62,348.4,1
4.12,197.74,444.76,31.88,9.18,2.71,33.37,5.89,1.89,0.4698,-0.0463,1147.0,0.62,348.4,1
8.42,195.22,449.06,30.89,10.81,2.71,30.11,12.7,2.94,0.4698,-0.0463,1147.0,0.62,348.4,1
0.0,155.03,517.37,29.08,12.45,1.88,29.95,11.81,2.09,0.5603,-0.0835,1142.0,0.31,338.1,1
15.93,355.9,708.59,26.59,16.83,2.25,26.96,16.36,2.24,0.4741,-0.079,1134.0,2.18,131.6,1
17.97,143.24,706.6,24.92,15.74,2.21,25.39,16.05,2.29,0.6527,0.1036,1134.0,2.18,131.6,1
26.48,141.2,692.31,24.84,15.52,2.28,25.89,15.59,2.33,0.6527,0.1036,1134.0,2.18,131.6,1
23.75,149.81,712.02,25.35,14.94,2.39,25.7,14.01,2.56,0.6527,0.1036,1134.0,2.18,131.6,1
23.75,149.81,712.02,25.35,14.94,2.39,25.7,14.01,2.56,0.6527,0.1036,1134.0,2.18,131.6,1
0.0,43.29,477.49,26.39,13.36,2.67,27.73,13.09,0.61,0.6194,0.1435,1145.0,1.66,1141.6,1
0.0,38.69,374.33,26.39,13.18,2.48,27.74,12.94,0.59,0.6697,0.1111,1144.0,0.62,543.9,1
0.0,43.29,473.41,26.47,13.56,2.4,25.88,15.08,1.28,0.6041,0.1282,1145.0,1.66,1141.6,1
40.93,120.28,366.06,29.06,13.71,2.08,27.35,14.76,1.99,0.4977,-0.1035,1158.0,0.98,231.0,1
18.15,79.02,505.44,28.06,13.25,2.15,28.63,13.76,3.26,0.7027,0.1281,1164.0,1.11,1038.5,1
4.62,107.95,291.53,28.48,12.78,2.61,32.07,5.02,0.67,0.0772,0.0727,1134.0,0.0,182.2,1
4.76,128.19,295.15,28.05,13.64,2.67,31.8,6.03,0.66,0.6359,0.1073,1134.0,2.18,131.6,1
58.66,259.09,432.52,26.0,16.95,2.64,25.9,16.98,3.37,0.6184,0.0538,1134.0,2.18,131.6,1
58.66,259.09,432.52,26.0,16.95,2.64,25.9,16.98,3.37,0.6184,0.0538,1134.0,2.18,131.6,1
119.26,379.15,605.21,25.28,18.12,3.11,26.48,18.0,2.49,0.6629,0.0983,1134.0,2.18,131.6,1
125.75,377.9,705.7,23.23,18.12,1.94,24.06,18.08,1.63,0.6798,0.0035,1158.0,0.98,231.0,1
125.75,377.9,705.7,23.23,18.12,1.94,24.06,18.08,1.63,0.6798,0.0035,1158.0,0.98,231.0,1
21.78,77.7,694.29,26.56,14.14,1.59,27.41,13.51,1.64,0.5256,-0.0432,1147.0,0.62,348.4,1
21.78,77.7,694.29,26.56,14.14,1.59,27.41,13.51,1.64,0.5256,-0.0432,1147.0,0.62,348.4,1
17.64,109.71,661.24,25.49,14.95,1.77,26.34,13.61,1.26,-0.1587,-0.3029,1134.0,0.0,16.7,1
17.64,109.71,661.24,25.49,14.95,1.77,26.34,13.61,1.26,-0.1587,-0.3029,1134.0,0.0,16.7,1
17.64,109.71,661.24,25.49,14.95,1.77,26.34,13.61,1.26,-0.1587,-0.3029,1134.0,0.0,16.7,1
18.32,100.75,215.16,25.39,18.03,2.73,25.44,19.36,1.98,0.6584,0.0804,1144.0,0.62,543.9,1
0.0,90.36,382.08,30.08,9.98,1.09,27.63,12.33,0.97,0.5603,-0.0708,1318.0,2.84,65.0,1
74.86,164.31,424.48,26.33,16.26,2.81,27.26,16.08,2.01,0.6383,0.1185,1134.0,2.18,131.6,1
17.35,124.52,425.13,28.66,14.22,1.61,27.08,15.48,1.07,-0.1587,-0.276,1134.0,0.0,16.7,1
0.0,90.36,382.08,30.08,9.98,1.09,27.63,12.33,0.97,0.5603,-0.0708,1318.0,2.84,65.0,1
0.0,90.36,382.08,30.08,9.98,1.09,27.63,12.33,0.97,0.5603,-0.0708,1318.0,2.84,65.0,1
6.25,61.08,347.08,27.19,16.77,2.14,25.77,18.07,3.59,0.4418,-0.0684,1145.0,1.66,1141.6,1
34.95,105.86,401.17,29.08,13.29,1.73,29.66,13.33,1.03,0.3761,-0.0649,1146.0,0.98,2824.0,1
0.0,90.36,382.08,30.08,9.98,1.09,27.63,12.33,0.97,0.5603,-0.0708,1318.0,2.84,65.0,1
28.34,95.46,352.8,29.09,14.22,1.47,30.12,13.17,1.99,0.6473,0.0034,1158.0,0.98,231.0,1
47.41,154.81,546.74,24.65,17.66,2.3,26.38,18.52,3.58,0.6798,0.1575,1158.0,0.98,231.0,1
47.41,154.81,546.74,24.65,17.66,2.3,26.38,18.52,3.58,0.6798,0.1575,1158.0,0.98,231.0,1
47.41,154.81,546.74,24.65,17.66,2.3,26.38,18.52,3.58,0.6798,0.1575,1158.0,0.98,231.0,1
47.41,154.81,546.74,24.65,17.66,2.3,26.38,18.52,3.58,0.6798,0.1575,1158.0,0.98,231.0,1
98.97,194.53,598.08,24.65,17.66,2.3,26.38,18.52,3.58,0.5872,0.1853,1146.0,0.98,2824.0,1
44.54,240.03,536.59,26.55,18.0,2.43,26.71,17.62,1.5,0.4227,-0.1059,1134.0,2.18,131.6,1
47.96,157.25,583.72,23.5,16.5,1.45,23.9,17.69,1.96,0.6708,0.0415,1225.0,2.41,615.7,1
48.68,159.47,555.5,23.5,16.5,1.45,23.9,17.69,1.96,0.6391,0.0108,1219.0,1.75,2055.9,1
35.46,172.11,505.91,23.85,16.22,1.4,28.02,15.02,0.87,0.7574,0.1006,1181.0,0.69,230.0,1
