key,scientificName,decimalLatitude,decimalLongitude,eventDate,year,grid_cell_id,within_scheme_boundary
1415643282,BOLD:ABV3500,0.252,34.92,2012-06-25,2012,cell_0164,False
865162303,"Cataulacus striativentris Santschi, 1924",0.1,34.52,2001-10-01,2001,cell_0020,False
4416307337,"Hemisus guineensis Cope, 1865",-0.125,34.875,2023-03-16,2023,cell_0137,False
865161999,"Technomyrmex moerens Santschi, 1913",0.1,34.52,2001-10-01,2001,cell_0020,False
657592277,Staphylinidae,0.25,34.85,2001-07-20,2001,cell_0125,False
657645184,"Diatrechus Bernhauer, 1911",0.25,34.85,2001-09-07,2001,cell_0125,False
3348194143,Plagiorchiida,-0.32,35.01,2013-03-10,2013,cell_0193,False
2669414356,"Elminia longicauda (Swainson, 1838)",0.0724,34.97738,2019-05-03,2019,cell_0181,False
4465417247,Justicia flava (Forssk.) Vahl,0.182493,35.161463,2023-12-07T16:52,2023,cell_0260,False
1986736816,"Apus niansae (Reichenow, 1887)",-0.097,34.645,2017-11-11,2017,cell_0046,False
3926512992,"Streptopelia semitorquata (Rüppell, 1837)",-0.124583,35.207917,2022-08-03,2022,cell_0272,False
958751262,"Apaloderma vittatum Shelley, 1882",0.290505,34.83902,2013-06-06,2013,cell_0126,False
4903812412,Parthenium hysterophorus L.,-0.170562,35.18409,2024-06-08T10:28:37,2024,cell_0253,False
3819429910,"Terpsiphone viridis (Statius Muller, 1776)",-0.457917,34.874583,2022-05-14,2022,cell_0130,False
3326299577,"Psalidoprocne Cabanis, 1850",0.292083,34.957917,2021-07-11,2021,cell_0185,False
3995665119,"Egretta garzetta (Linnaeus, 1766)",-0.131081,34.739262,2022-07-25,2022,cell_0079,False
3030337586,"Culex Linnaeus, 1758",-0.2,35.3333,2020-12,2020,cell_0301,False
3306569690,"Cinnyris venustus (Shaw, 1799)",0.125417,34.957917,2015-12-31,2015,cell_0182,False
3306687074,"Apaloderma vittatum Shelley, 1882",0.292083,35.04125,2021-03-19,2021,cell_0205,False
1986779406,"Lonchura nigriceps (Cassin, 1852)",0.203543,35.110948,2017-08-11,2017,cell_0242,False
1415643275,BOLD:ABU9936,0.228,34.963,2012-06-25,2012,cell_0184,False
5297261755,"Tricholaema hirsuta (Swainson, 1821)",0.081892,34.988647,2024-05-11,2024,cell_0181,False
