appeears_latitude,appeears_longitude,grid_cell_id,grid_latitude,grid_longitude,coordinate_distance_degrees
-0.351559,34.481704,cell_0000,-0.35155907441742756,34.4817036890631,3.1971816931436027e-07
-0.351551,34.531115,cell_0011,-0.3515510480050569,34.53111452525538,4.771655234927779e-07
0.09613,34.531088,cell_0020,0.09612996480667921,34.531088031382296,4.7153139292658605e-08
0.046387,34.580495,cell_0033,0.0463865318954119,34.58049517133731,4.984760575977128e-07
-0.451014,34.629952,cell_0039,-0.45101406890506884,34.629952413747645,4.194460872089785e-07
-0.102834,34.629905,cell_0046,-0.10283446623759052,34.62990484793439,4.904094621067082e-07
-0.053095,34.629903,cell_0047,-0.053094510263843146,34.62990293490471,4.940434186802528e-07
-0.55048,34.679386,cell_0053,-0.550480098375223,34.679385615161266,3.972134647140925e-07
-0.351525,34.67934,cell_0057,-0.3515253908213134,34.67934000600079,3.9086737967837786e-07
0.046384,34.679309,cell_0065,0.04638424022371407,34.67930914874872,2.825484276642765e-07
-0.500729,34.728779,cell_0072,-0.5007285005603458,34.728779303903075,5.84634112161159e-07
-0.053092,34.728714,cell_0081,-0.05309180770444477,34.72871444437361,4.841957117977015e-07
-0.003354,34.778118,cell_0101,-0.0033542935668143745,34.778117520559775,5.621782664638552e-07
0.245326,34.778134,cell_0106,0.2453262079586619,34.7781337133023,3.5417845130436494e-07
0.295062,34.778141,cell_0107,0.2950622997520583,34.77814094593309,3.045891119427211e-07
-0.053089,34.827521,cell_0119,-0.05308894632758886,34.82752077631797,2.3003125433031304e-07
0.195585,34.827531,cell_0124,0.19558476833745658,34.82753057695634,4.823209214336262e-07
0.295054,34.827544,cell_0126,0.2950542379815833,34.8275440752506,2.4959544533531573e-07
-0.450954,34.876979,cell_0130,-0.45095414573808434,34.87697887591509,1.9140703512608647e-07
-0.102821,34.876924,cell_0137,-0.1028208035793101,34.87692411093058,2.2558076306452904e-07
0.096113,34.876924,cell_0141,0.09611258825965137,34.87692373185311,4.913581891443904e-07
0.046378,34.926321,cell_0160,0.046377904019130944,34.92632144068255,4.510137864191865e-07
-0.202276,34.975731,cell_0175,-0.2022756821980846,34.975731312109474,4.4543279981921435e-07
0.096107,34.975722,cell_0181,0.09610697670220386,34.97572183924365,1.6243580737008222e-07
0.145837,34.975725,cell_0182,0.14583741911111192,34.975725437135345,6.055918071847273e-07
0.245298,34.975737,cell_0184,0.24529829612617546,34.97573707016339,3.043248475105765e-07
-0.251998,35.025135,cell_0194,-0.2519984789180306,35.02513532631813,5.795222186629962e-07
-0.003354,35.025116,cell_0199,-0.0033538102609347443,35.02511586534689,2.3266364554623647e-07
0.096104,35.025119,cell_0201,0.09610406316867873,35.02511869280949,3.136180604011007e-07
0.195562,35.025128,cell_0203,0.1955619304253899,35.02512758419937,4.2158130210056394e-07
0.29502,35.025143,cell_0205,0.29501978512087107,35.02514253964882,5.080317411944805e-07
-0.152536,35.074518,cell_0216,-0.1525358795101711,35.0745184362649,4.52597907949177e-07
0.195556,35.074523,cell_0223,0.19555585551511,35.074523138283894,1.9999579728416843e-07
0.096098,35.123908,cell_0240,0.09609802064639099,35.12390781508991,1.8605917283318496e-07
0.145824,35.123912,cell_0241,0.1458238287388107,35.123911682358646,3.608689833057545e-07
0.19555,35.123917,cell_0242,0.19554963447631019,35.1239171394422,3.912182191053586e-07
0.245275,35.123924,cell_0243,0.2452754370559348,35.12392418636085,4.751297261537562e-07
-0.251974,35.173318,cell_0251,-0.2519744298473405,35.17331785833891,4.5258877642504263e-07
-0.152526,35.173305,cell_0253,-0.15252606059292054,35.17330462526253,3.7960462554535796e-07
0.195543,35.17331,cell_0260,0.19554326733213181,35.17330955076638,5.22759324853075e-07
-0.450856,35.222756,cell_0265,-0.4508560949229919,35.22275586207616,1.674316529658947e-07
0.195537,35.2227,cell_0278,0.19553675410625773,35.22270033535446,4.158441347103319e-07
0.245259,35.222708,cell_0279,0.24525928133592412,35.22270770938143,4.044861590968432e-07
-0.053074,35.272077,cell_0289,-0.05307410596305527,35.27207727611235,2.9574684509160294e-07
-0.401106,35.32152,cell_0297,-0.4011059671382146,35.32151998040499,3.8260439358650595e-08
